Thu Mar 18 18:26:01 2021    output.dat

         188712296 function calls (185104778 primitive calls) in 194.084 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   123812    0.400    0.000    0.400    0.000 {method '_numpy_internal' of 'tensorflow.python.framework.ops.EagerTensor' objects}
704927/694329    0.390    0.000    0.507    0.000 {built-in method _abc._abc_subclasscheck}
  3633915    0.380    0.000    0.380    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/eager/context.py:1849(context_safe)
   747919    0.378    0.000    0.697    0.000 {built-in method builtins.all}
    80512    0.372    0.000    1.538    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/ops/resource_variable_ops.py:335(__init__)
   501389    0.371    0.000    0.612    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/framework/tensor_shape.py:254(is_compatible_with)
   109168    0.368    0.000    0.463    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/framework/common_shapes.py:25(_broadcast_shape_helper)
    95944    0.363    0.000    0.363    0.000 {built-in method posix.chdir}
    44542    0.362    0.000    5.494    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/ops/nn_ops.py:1029(convolution_internal)
180654/91395    0.362    0.000    2.948    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/inspect.py:2218(_signature_from_callable)
    44542    0.360    0.000    9.219    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/keras/layers/convolutional.py:244(call)
  3484002    0.353    0.000    0.353    0.000 {method 'append' of 'list' objects}
   361807    0.348    0.000    0.419    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/contextlib.py:82(__init__)
    94687    0.344    0.000    0.999    0.000 /Users/marvin/FML2020/fml-project/environment.py:384(get_state_for_agent)
860112/598018    0.340    0.000    3.295    0.000 {built-in method builtins.next}
    47972    0.336    0.000    0.915    0.000 /Users/marvin/FML2020/fml-project/agents.py:199(process_event)
89072/44534    0.331    0.000   10.679    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow_probability/python/distributions/distribution.py:289(wrapped_init)
   509072    0.330    0.000    0.330    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/eager/context.py:827(scope_name)
    41252    0.326    0.000    3.075    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/ops/clip_ops.py:36(clip_by_value)
155817/133558    0.321    0.000    1.856    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow_probability/python/internal/backend/numpy/ops.py:140(_convert_to_tensor)
   200439    0.318    0.000    1.819    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/keras/engine/base_layer.py:3278(_in_functional_construction_mode)
   553852    0.316    0.000    0.374    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/framework/ops.py:6602(__init__)
254113/254103    0.311    0.000    1.752    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
   468938    0.310    0.000    2.623    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/util/nest.py:362(assert_same_structure)
    23360    0.308    0.000    5.432    0.000 /Users/marvin/FML2020/fml-project/environment.py:426(poll_and_run_agents)
    22263    0.307    0.000   20.654    0.001 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow_probability/python/distributions/distribution.py:970(_call_sample_n)
   155897    0.302    0.000    0.998    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/keras/engine/base_layer.py:2405(_maybe_cast_inputs)
